"","Scenario Number","MR Included","Abund Included","Nests Included","MR detection","Abund detection","Adult Surv","Juv Surv","Mean Clutch Size","Daily nest survival","Fec","lams"
"1",1,1,1,1,0.8,0.85,0.77,0.5,2.5,0.975,0.584855372849175,1.06242768642459
"2",2,1,1,1,0.8,0.85,0.77,0.3,2.5,0.975,0.584855372849175,0.945456611854752
"3",3,1,1,1,0.3,0.3,0.77,0.5,2.5,0.975,0.584855372849175,1.06242768642459
"4",4,1,1,1,0.3,0.3,0.77,0.3,2.5,0.975,0.584855372849175,0.945456611854752
"5",5,1,1,1,0.5,0.5,0.77,0.4,2.5,0.975,0.584855372849175,1.00394214913967
"6",6,0,1,1,0.8,0.85,0.77,0.5,2.5,0.975,0.584855372849175,1.06242768642459
"7",7,0,1,1,0.8,0.85,0.77,0.3,2.5,0.975,0.584855372849175,0.945456611854752
"8",8,0,1,1,0.3,0.3,0.77,0.5,2.5,0.975,0.584855372849175,1.06242768642459
"9",9,0,1,1,0.3,0.3,0.77,0.3,2.5,0.975,0.584855372849175,0.945456611854752
"10",10,0,1,1,0.5,0.5,0.77,0.4,2.5,0.975,0.584855372849175,1.00394214913967
"11",11,1,1,0,0.8,0.85,0.77,0.5,2.5,0.975,0.584855372849175,1.06242768642459
"12",12,1,1,0,0.8,0.85,0.77,0.3,2.5,0.975,0.584855372849175,0.945456611854752
"13",13,1,1,0,0.3,0.3,0.77,0.5,2.5,0.975,0.584855372849175,1.06242768642459
"14",14,1,1,0,0.3,0.3,0.77,0.3,2.5,0.975,0.584855372849175,0.945456611854752
"15",15,1,1,0,0.5,0.5,0.77,0.4,2.5,0.975,0.584855372849175,1.00394214913967
