"scenario","fec.true","phi1.true","phiad.true","lambda.scenario"
1,2,0.1,0.7,"Decreasing"
10,2.9,0.2,0.3,"Decreasing"
11,0.7,0.9,0.3,"Decreasing"
12,0.7,0.6,0.5,"Decreasing"
13,0.8,0.9,0.3,"Decreasing"
14,2.1,0.4,0.2,"Decreasing"
15,0.8,0.6,0.4,"Decreasing"
16,2.3,0.2,0.4,"Decreasing"
17,0.9,0.7,0.3,"Decreasing"
18,2.9,0.2,0.4,"Decreasing"
19,2.2,0.3,0.2,"Decreasing"
2,2.5,0.1,0.7,"Decreasing"
20,2.5,0.2,0.5,"Decreasing"
21,1,0.6,0.3,"Decreasing"
22,1.8,0.4,0.2,"Decreasing"
23,2.7,0.2,0.4,"Decreasing"
24,1.3,0.6,0.1,"Decreasing"
25,2.6,0.3,0.2,"Decreasing"
3,1.9,0.2,0.6,"Decreasing"
4,1.2,0.2,0.7,"Decreasing"
5,0.5,0.6,0.6,"Decreasing"
6,1,0.2,0.8,"Decreasing"
7,2.8,0.3,0.2,"Decreasing"
8,1,0.8,0.2,"Decreasing"
9,2,0.3,0.3,"Decreasing"
1,1.1,0.8,0.1,"Stable"
10,2.5,0.2,0.5,"Stable"
11,1,0.6,0.4,"Stable"
12,3,0.3,0.1,"Stable"
13,0.7,0.2,0.9,"Stable"
14,1.5,0.6,0.1,"Stable"
15,1.1,0.8,0.1,"Stable"
16,0.7,0.6,0.6,"Stable"
17,0.7,0.5,0.7,"Stable"
18,1.2,0.6,0.3,"Stable"
19,2.2,0.2,0.5,"Stable"
2,1.3,0.4,0.4,"Stable"
20,1,0.8,0.2,"Stable"
21,0.7,0.8,0.4,"Stable"
22,1.4,0.6,0.1,"Stable"
23,1.1,0.5,0.4,"Stable"
24,0.6,0.9,0.4,"Stable"
25,0.9,0.3,0.7,"Stable"
3,1.4,0.4,0.4,"Stable"
4,1,0.2,0.8,"Stable"
5,1,0.5,0.4,"Stable"
6,0.7,0.4,0.7,"Stable"
7,0.8,0.6,0.5,"Stable"
8,2,0.4,0.1,"Stable"
9,0.9,0.9,0.2,"Stable"
1,2,0.1,0.8,"Increasing"
10,2.5,0.1,0.8,"Increasing"
11,0.9,0.8,0.4,"Increasing"
12,0.5,0.4,0.8,"Increasing"
13,0.9,0.3,0.8,"Increasing"
14,2.1,0.3,0.4,"Increasing"
15,1,0.2,0.9,"Increasing"
16,0.7,0.3,0.8,"Increasing"
17,0.8,0.1,0.9,"Increasing"
18,0.6,0.4,0.8,"Increasing"
19,1.9,0.1,0.8,"Increasing"
2,1.6,0.6,0.2,"Increasing"
20,2,0.1,0.8,"Increasing"
21,2.6,0.1,0.7,"Increasing"
22,1.5,0.6,0.2,"Increasing"
23,0.8,0.9,0.4,"Increasing"
24,0.9,0.9,0.3,"Increasing"
25,1.1,0.5,0.4,"Increasing"
3,1.3,0.6,0.3,"Increasing"
4,1.4,0.3,0.6,"Increasing"
5,1.7,0.5,0.2,"Increasing"
6,1.6,0.2,0.8,"Increasing"
7,1.1,0.5,0.5,"Increasing"
8,0.8,0.8,0.5,"Increasing"
9,0.5,0.2,1,"Increasing"
