"","Data","scenario","JuvSurv.bias","JuvSurv.rmse","AdultSurv.bias","AdultSurv.rmse","Fec.bias","Fec.rmse","Dailynestsurvival.bias","Dailynestsurvival.rmse","Abunddetection.bias","Abunddetection.rmse","MRdetection.bias","MRdetection.rmse"
"1","All",1,0.05,0.07,0,0.03,-0.03,0.04,0,0,-0.07,0.09,0,0.04
"2","All",2,0.02,0.06,0,0.03,-0.01,0.04,0,0,-0.04,0.09,-0.01,0.03
"3","All",3,-0.1,0.1,0.04,0.05,0,0.04,0,0,-0.39,0.17,0.08,0.06
"4","All",4,-0.11,0.09,0.02,0.05,-0.01,0.03,0,0,-0.43,0.19,0.09,0.06
"5","All",5,-0.09,0.08,0.03,0.04,0.02,0.04,0,0,-0.38,0.27,0.02,0.05
"6","Counts + Productivity",6,0.05,0.2,-0.02,0.13,-0.01,0.04,0,0,-0.01,0.07,NA,NA
"7","Counts + Productivity",7,0.36,0.24,-0.07,0.13,-0.03,0.03,0,0,-0.04,0.08,NA,NA
"8","Counts + Productivity",8,0.05,0.12,-0.01,0.08,-0.01,0.01,0,0,0.67,0.24,NA,NA
"9","Counts + Productivity",9,0.81,0.29,-0.19,0.19,0,0.03,0,0,-0.43,0.15,NA,NA
"10","Counts + Productivity",10,0.32,0.18,-0.1,0.12,0,0.03,0,0,-0.05,0.16,NA,NA
"11","Counts + MR",11,0.27,0.16,0.02,0.03,-0.25,0.17,-0.01,0.01,-0.04,0.08,0,0.03
"12","Counts + MR",12,0.87,0.27,0.01,0.03,-0.48,0.29,-0.02,0.02,-0.01,0.07,0,0.04
"13","Counts + MR",13,0.17,0.12,0.04,0.05,-0.24,0.16,-0.01,0.01,-0.05,0.18,0,0.05
"14","Counts + MR",14,0.53,0.21,0.05,0.06,-0.51,0.3,-0.02,0.02,-0.24,0.15,0.04,0.05
"15","Counts + MR",15,0.45,0.2,0.04,0.04,-0.38,0.24,-0.01,0.02,-0.29,0.23,0.03,0.05
